original,after
"[558, 456, 942.0]","[0.9622129436325677, 0.28914285714285715, -1.0]"
"[535, 452, 987.0]","[0.8565762004175366, 0.4305714285714286, -0.98]"
"[492, 437, 1038.0]","[0.6590814196242172, 0.590857142857143, -0.9050000000000002]"
"[509, 446, 1085.0]","[0.7371607515657621, 0.7385714285714287, -0.9500000000000002]"
"[453, 423, 1098.0]","[0.4799582463465555, 0.7794285714285716, -0.835]"
"[464, 434, 1113.0]","[0.5304801670146138, 0.8265714285714285, -0.8900000000000001]"
"[432, 420, 1222.0]","[0.38350730688935286, 1.169142857142857, -0.8200000000000001]"
"[420, 420, 1310.0]","[0.32839248434238, 1.4457142857142862, -0.8200000000000001]"
"[415, 420, 1349.0]","[0.30542797494780793, 1.5682857142857145, -0.8200000000000001]"
"[411, 421, 1414.0]","[0.28705636743215024, 1.7725714285714287, -0.8250000000000002]"
"[410, 422, 1437.0]","[0.28246346555323587, 1.8448571428571428, -0.8300000000000001]"
"[409, 424, 1481.0]","[0.2778705636743215, 1.9831428571428575, -0.8400000000000001]"
"[413, 428, 1520.0]","[0.2962421711899792, 2.105714285714286, -0.8600000000000001]"
"[414, 430, 1535.0]","[0.30083507306889357, 2.152857142857143, -0.8700000000000001]"
"[416, 435, 1567.0]","[0.3100208768267223, 2.2534285714285716, -0.8950000000000002]"
"[418, 439, 1576.0]","[0.31920668058455104, 2.281714285714286, -0.915]"
"[421, 444, 1595.0]","[0.33298538622129437, 2.3414285714285716, -0.94]"
"[422, 446, 1613.0]","[0.33757828810020873, 2.3980000000000006, -0.9500000000000002]"
"[425, 447, 1616.0]","[0.35135699373695184, 2.4074285714285715, -0.9550000000000001]"
"[423, 446, 1617.0]","[0.3421711899791231, 2.4105714285714286, -0.9500000000000002]"
"[425, 446, 1611.0]","[0.35135699373695184, 2.391714285714286, -0.9500000000000002]"
"[427, 447, 1621.0]","[0.3605427974947808, 2.4231428571428575, -0.9550000000000001]"
"[425, 447, 1623.0]","[0.35135699373695184, 2.4294285714285717, -0.9550000000000001]"
"[424, 445, 1612.0]","[0.34676409185803747, 2.394857142857143, -0.9450000000000003]"
"[426, 446, 1605.0]","[0.35594989561586643, 2.3728571428571428, -0.9500000000000002]"
"[423, 445, 1609.0]","[0.3421711899791231, 2.3854285714285717, -0.9450000000000003]"
"[422, 446, 1601.0]","[0.33757828810020873, 2.3602857142857148, -0.9500000000000002]"
"[422, 446, 1601.0]","[0.33757828810020873, 2.3602857142857148, -0.9500000000000002]"
"[421, 446, 1601.0]","[0.33298538622129437, 2.3602857142857148, -0.9500000000000002]"
"[418, 446, 1594.0]","[0.31920668058455104, 2.3382857142857145, -0.9500000000000002]"
"[416, 446, 1580.0]","[0.3100208768267223, 2.2942857142857145, -0.9500000000000002]"
"[414, 446, 1582.0]","[0.30083507306889357, 2.300571428571429, -0.9500000000000002]"
"[409, 444, 1548.0]","[0.2778705636743215, 2.193714285714286, -0.94]"
"[404, 441, 1530.0]","[0.25490605427974944, 2.1371428571428575, -0.9249999999999998]"
"[400, 438, 1490.0]","[0.23653444676409197, 2.0114285714285716, -0.9100000000000001]"
