original,after
"[242, 446, 1424.0]","[-0.4891440501043842, 1.8040000000000003, -0.9500000000000002]"
"[241, 445, 1420.0]","[-0.4937369519832986, 1.7914285714285714, -0.9450000000000003]"
"[238, 445, 1419.0]","[-0.5075156576200418, 1.7882857142857147, -0.9450000000000003]"
"[238, 444, 1424.0]","[-0.5075156576200418, 1.8040000000000003, -0.94]"
"[235, 443, 1429.0]","[-0.521294363256785, 1.8197142857142858, -0.935]"
"[232, 443, 1452.0]","[-0.5350730688935282, 1.8920000000000003, -0.935]"
"[231, 444, 1436.0]","[-0.5396659707724426, 1.841714285714286, -0.94]"
"[229, 443, 1445.0]","[-0.5488517745302715, 1.8700000000000006, -0.935]"
"[228, 444, 1436.0]","[-0.5534446764091858, 1.841714285714286, -0.94]"
"[227, 443, 1446.0]","[-0.5580375782881003, 1.8731428571428572, -0.935]"
"[222, 440, 1450.0]","[-0.5810020876826723, 1.8857142857142861, -0.9199999999999999]"
"[221, 442, 1448.0]","[-0.5855949895615867, 1.8794285714285714, -0.9300000000000002]"
"[220, 441, 1448.0]","[-0.5901878914405011, 1.8794285714285714, -0.9249999999999998]"
"[217, 441, 1444.0]","[-0.6039665970772443, 1.866857142857143, -0.9249999999999998]"
"[217, 442, 1456.0]","[-0.6039665970772443, 1.9045714285714288, -0.9300000000000002]"
"[217, 440, 1473.0]","[-0.6039665970772443, 1.9579999999999997, -0.9199999999999999]"
"[216, 442, 1458.0]","[-0.6085594989561587, 1.910857142857143, -0.9300000000000002]"
"[215, 441, 1441.0]","[-0.613152400835073, 1.8574285714285717, -0.9249999999999998]"
"[214, 441, 1460.0]","[-0.6177453027139875, 1.9171428571428573, -0.9249999999999998]"
"[212, 439, 1451.0]","[-0.6269311064718164, 1.8888571428571428, -0.915]"
"[211, 440, 1458.0]","[-0.6315240083507307, 1.910857142857143, -0.9199999999999999]"
"[211, 440, 1467.0]","[-0.6315240083507307, 1.9391428571428575, -0.9199999999999999]"
"[210, 438, 1452.0]","[-0.6361169102296451, 1.8920000000000003, -0.9100000000000001]"
"[208, 438, 1471.0]","[-0.6453027139874739, 1.951714285714286, -0.9100000000000001]"
"[207, 438, 1490.0]","[-0.6498956158663883, 2.0114285714285716, -0.9100000000000001]"
"[206, 438, 1458.0]","[-0.6544885177453028, 1.910857142857143, -0.9100000000000001]"
"[204, 436, 1466.0]","[-0.6636743215031315, 1.936, -0.8999999999999999]"
"[202, 437, 1475.0]","[-0.6728601252609604, 1.9642857142857144, -0.9050000000000002]"
"[201, 437, 1474.0]","[-0.6774530271398749, 1.9611428571428573, -0.9050000000000002]"
"[198, 435, 1485.0]","[-0.691231732776618, 1.995714285714286, -0.8950000000000002]"
"[197, 436, 1483.0]","[-0.6958246346555323, 1.9894285714285718, -0.8999999999999999]"
"[194, 437, 1491.0]","[-0.7096033402922757, 2.0145714285714287, -0.9050000000000002]"
"[191, 435, 1475.0]","[-0.7233820459290189, 1.9642857142857144, -0.8950000000000002]"
"[189, 436, 1483.0]","[-0.7325678496868477, 1.9894285714285718, -0.8999999999999999]"
"[185, 437, 1486.0]","[-0.7509394572025052, 1.998857142857143, -0.9050000000000002]"
"[185, 436, 1480.0]","[-0.7509394572025052, 1.98, -0.8999999999999999]"
"[184, 436, 1481.0]","[-0.7555323590814197, 1.9831428571428575, -0.8999999999999999]"
"[180, 437, 1486.0]","[-0.7739039665970773, 1.998857142857143, -0.9050000000000002]"
"[177, 436, 1483.0]","[-0.7876826722338205, 1.9894285714285718, -0.8999999999999999]"
"[173, 436, 1492.0]","[-0.8060542797494782, 2.017714285714286, -0.8999999999999999]"
"[172, 437, 1485.0]","[-0.8106471816283926, 1.995714285714286, -0.9050000000000002]"
"[168, 436, 1476.0]","[-0.8290187891440501, 1.9674285714285715, -0.8999999999999999]"
"[166, 437, 1502.0]","[-0.838204592901879, 2.0491428571428574, -0.9050000000000002]"
"[165, 437, 1490.0]","[-0.8427974947807935, 2.0114285714285716, -0.9050000000000002]"
"[163, 437, 1481.0]","[-0.8519832985386222, 1.9831428571428575, -0.9050000000000002]"
"[161, 438, 1477.0]","[-0.8611691022964509, 1.9705714285714286, -0.9100000000000001]"
"[159, 439, 1495.0]","[-0.8703549060542798, 2.0271428571428576, -0.915]"
"[159, 440, 1512.0]","[-0.8703549060542798, 2.080571428571429, -0.9199999999999999]"
"[158, 439, 1500.0]","[-0.8749478079331943, 2.042857142857143, -0.915]"
"[154, 439, 1491.0]","[-0.8933194154488519, 2.0145714285714287, -0.915]"
"[152, 439, 1508.0]","[-0.9025052192066807, 2.068, -0.915]"
"[152, 439, 1530.0]","[-0.9025052192066807, 2.1371428571428575, -0.915]"
"[152, 440, 1491.0]","[-0.9025052192066807, 2.0145714285714287, -0.9199999999999999]"
"[152, 439, 1485.0]","[-0.9025052192066807, 1.995714285714286, -0.915]"
"[154, 440, 1495.0]","[-0.8933194154488519, 2.0271428571428576, -0.9199999999999999]"
"[154, 440, 1498.0]","[-0.8933194154488519, 2.036571428571429, -0.9199999999999999]"
"[154, 439, 1493.0]","[-0.8933194154488519, 2.020857142857143, -0.915]"
"[153, 439, 1497.0]","[-0.8979123173277662, 2.033428571428572, -0.915]"
"[152, 438, 1503.0]","[-0.9025052192066807, 2.0522857142857145, -0.9100000000000001]"
"[152, 438, 1503.0]","[-0.9025052192066807, 2.0522857142857145, -0.9100000000000001]"
"[151, 436, 1508.0]","[-0.9070981210855951, 2.068, -0.8999999999999999]"
"[151, 436, 1490.0]","[-0.9070981210855951, 2.0114285714285716, -0.8999999999999999]"
"[148, 436, 1512.0]","[-0.9208768267223383, 2.080571428571429, -0.8999999999999999]"
"[146, 435, 1483.0]","[-0.9300626304801671, 1.9894285714285718, -0.8950000000000002]"
"[145, 435, 1492.0]","[-0.9346555323590815, 2.017714285714286, -0.8950000000000002]"
"[141, 436, 1499.0]","[-0.9530271398747392, 2.0397142857142856, -0.8999999999999999]"
"[140, 436, 1524.0]","[-0.9576200417536536, 2.1182857142857143, -0.8999999999999999]"
"[137, 437, 1501.0]","[-0.9713987473903968, 2.046, -0.9050000000000002]"
"[135, 438, 1487.0]","[-0.9805845511482255, 2.002, -0.9100000000000001]"
"[131, 439, 1498.0]","[-0.9989561586638832, 2.036571428571429, -0.915]"
"[127, 441, 1490.0]","[-1.0173277661795408, 2.0114285714285716, -0.9249999999999998]"
"[124, 440, 1510.0]","[-1.0311064718162841, 2.0742857142857143, -0.9199999999999999]"
"[121, 442, 1483.0]","[-1.0448851774530272, 1.9894285714285718, -0.9300000000000002]"
"[117, 443, 1477.0]","[-1.063256784968685, 1.9705714285714286, -0.935]"
"[112, 446, 1479.0]","[-1.086221294363257, 1.9768571428571429, -0.9500000000000002]"
"[107, 448, 1464.0]","[-1.1091858037578288, 1.9297142857142862, -0.96]"
"[102, 450, 1449.0]","[-1.1321503131524009, 1.8825714285714286, -0.9700000000000002]"
"[101, 450, 1438.0]","[-1.1367432150313153, 1.8480000000000003, -0.9700000000000002]"
"[97, 452, 1434.0]","[-1.155114822546973, 1.8354285714285714, -0.98]"
"[93, 455, 1429.0]","[-1.1734864300626306, 1.8197142857142858, -0.9950000000000001]"
"[95, 455, 1408.0]","[-1.1643006263048017, 1.753714285714286, -0.9950000000000001]"
"[90, 460, 1403.0]","[-1.1872651356993738, 1.7380000000000004, -1.02]"
"[93, 459, 1408.0]","[-1.1734864300626306, 1.753714285714286, -1.0150000000000001]"
"[94, 462, 1403.0]","[-1.168893528183716, 1.7380000000000004, -1.0299999999999998]"
"[93, 465, 1400.0]","[-1.1734864300626306, 1.728571428571429, -1.045]"
"[93, 466, 1388.0]","[-1.1734864300626306, 1.6908571428571428, -1.0500000000000003]"
"[94, 471, 1393.0]","[-1.168893528183716, 1.7065714285714289, -1.0750000000000002]"
"[95, 471, 1364.0]","[-1.1643006263048017, 1.6154285714285712, -1.0750000000000002]"
"[95, 473, 1367.0]","[-1.1643006263048017, 1.624857142857143, -1.085]"
"[96, 475, 1385.0]","[-1.1597077244258873, 1.6814285714285715, -1.0950000000000002]"
"[94, 475, 1358.0]","[-1.168893528183716, 1.596571428571429, -1.0950000000000002]"
"[100, 477, 1379.0]","[-1.1413361169102298, 1.6625714285714288, -1.105]"
"[99, 479, 1335.0]","[-1.1459290187891442, 1.5242857142857145, -1.1150000000000002]"
"[98, 481, 1338.0]","[-1.1505219206680586, 1.5337142857142858, -1.1250000000000004]"
"[101, 482, 1343.0]","[-1.1367432150313153, 1.5494285714285714, -1.1300000000000003]"
"[105, 482, 1340.0]","[-1.1183716075156578, 1.54, -1.1300000000000003]"
"[105, 483, 1327.0]","[-1.1183716075156578, 1.4991428571428576, -1.1350000000000002]"
"[109, 484, 1320.0]","[-1.1, 1.4771428571428573, -1.1399999999999997]"
"[113, 485, 1333.0]","[-1.0816283924843424, 1.5179999999999998, -1.145]"
"[113, 486, 1320.0]","[-1.0816283924843424, 1.4771428571428573, -1.15]"
"[113, 487, 1294.0]","[-1.0816283924843424, 1.3954285714285715, -1.1549999999999998]"
"[115, 486, 1294.0]","[-1.0724425887265137, 1.3954285714285715, -1.15]"
"[114, 487, 1299.0]","[-1.077035490605428, 1.4111428571428575, -1.1549999999999998]"
"[117, 484, 1277.0]","[-1.063256784968685, 1.3420000000000005, -1.1399999999999997]"
"[118, 485, 1267.0]","[-1.0586638830897703, 1.3105714285714285, -1.145]"
"[123, 483, 1253.0]","[-1.0356993736951985, 1.2665714285714285, -1.1350000000000002]"
"[121, 486, 1231.0]","[-1.0448851774530272, 1.1974285714285715, -1.15]"
"[125, 484, 1241.0]","[-1.0265135699373695, 1.2288571428571426, -1.1399999999999997]"
"[126, 484, 1204.0]","[-1.0219206680584552, 1.112571428571429, -1.1399999999999997]"
"[129, 487, 1181.0]","[-1.008141962421712, 1.0402857142857145, -1.1549999999999998]"
"[131, 489, 1163.0]","[-0.9989561586638832, 0.983714285714286, -1.165]"
"[134, 490, 1147.0]","[-0.98517745302714, 0.9334285714285713, -1.17]"
"[135, 491, 1140.0]","[-0.9805845511482255, 0.9114285714285715, -1.1750000000000003]"
"[135, 494, 1105.0]","[-0.9805845511482255, 0.8014285714285716, -1.1900000000000004]"
"[136, 496, 1090.0]","[-0.9759916492693111, 0.7542857142857144, -1.2000000000000002]"
"[139, 501, 1083.0]","[-0.9622129436325679, 0.7322857142857144, -1.225]"
"[141, 503, 1064.0]","[-0.9530271398747392, 0.6725714285714286, -1.2349999999999999]"
"[144, 506, 1053.0]","[-0.9392484342379959, 0.6380000000000001, -1.25]"
"[146, 511, 1018.0]","[-0.9300626304801671, 0.528, -1.2750000000000004]"
"[149, 515, 1013.0]","[-0.9162839248434239, 0.5122857142857145, -1.295]"
"[154, 523, 1000.0]","[-0.8933194154488519, 0.47142857142857153, -1.3350000000000004]"
"[157, 528, 990.0]","[-0.8795407098121086, 0.43999999999999995, -1.3599999999999999]"
"[164, 536, 958.0]","[-0.8473903966597078, 0.3394285714285714, -1.4000000000000004]"
"[169, 540, 938.0]","[-0.8244258872651358, 0.27657142857142847, -1.4200000000000004]"
"[178, 550, 936.0]","[-0.7830897703549061, 0.27028571428571446, -1.4700000000000002]"
"[185, 554, 910.0]","[-0.7509394572025052, 0.1885714285714286, -1.4900000000000002]"
"[193, 559, 905.0]","[-0.71419624217119, 0.17285714285714304, -1.5150000000000001]"
"[207, 570, 871.0]","[-0.6498956158663883, 0.06600000000000006, -1.5700000000000003]"
"[219, 577, 865.0]","[-0.5947807933194155, 0.04714285714285715, -1.605]"
"[237, 584, 845.0]","[-0.5121085594989563, -0.01571428571428557, -1.6400000000000001]"
"[250, 593, 843.0]","[-0.45240083507306894, -0.02200000000000002, -1.685]"
"[268, 602, 816.0]","[-0.36972860125260965, -0.10685714285714287, -1.73]"
"[278, 610, 819.0]","[-0.3237995824634655, -0.09742857142857142, -1.77]"
"[304, 613, 800.0]","[-0.20438413361169094, -0.15714285714285725, -1.7850000000000001]"
"[332, 610, 725.0]","[-0.07578288100208774, -0.3928571428571428, -1.77]"
"[327, 619, 724.0]","[-0.09874739039665958, -0.396, -1.815]"
"[356, 641, 894.0]","[0.034446764091857984, 0.13828571428571435, -1.9250000000000003]"
"[451, 620, 849.0]","[0.4707724425887265, -0.003142857142857114, -1.8200000000000003]"
"[462, 622, 890.0]","[0.521294363256785, 0.12571428571428567, -1.83]"
"[494, 604, 885.0]","[0.6682672233820459, 0.1100000000000001, -1.7400000000000002]"
"[478, 618, 894.0]","[0.5947807933194154, 0.13828571428571435, -1.81]"
"[499, 613, 903.0]","[0.6912317327766182, 0.1665714285714286, -1.7850000000000001]"
"[536, 584, 903.0]","[0.8611691022964509, 0.1665714285714286, -1.6400000000000001]"
"[514, 603, 914.0]","[0.7601252609603342, 0.20114285714285707, -1.7349999999999999]"
"[531, 596, 936.0]","[0.8382045929018789, 0.27028571428571446, -1.7000000000000002]"
"[560, 576, 952.0]","[0.9713987473903969, 0.3205714285714285, -1.6]"
"[544, 586, 952.0]","[0.8979123173277661, 0.3205714285714285, -1.65]"
"[559, 579, 968.0]","[0.9668058455114825, 0.370857142857143, -1.6150000000000002]"
"[569, 570, 982.0]","[1.0127348643006262, 0.41485714285714304, -1.5700000000000003]"
"[598, 548, 1009.0]","[1.1459290187891442, 0.49971428571428556, -1.46]"
"[582, 561, 1008.0]","[1.0724425887265134, 0.49657142857142866, -1.525]"
"[590, 554, 1019.0]","[1.1091858037578288, 0.5311428571428571, -1.4900000000000002]"
"[596, 549, 1027.0]","[1.1367432150313155, 0.5562857142857145, -1.4650000000000003]"
"[608, 542, 1051.0]","[1.1918580375782883, 0.6317142857142857, -1.4299999999999997]"
"[618, 536, 1071.0]","[1.237787056367432, 0.6945714285714286, -1.4000000000000004]"
"[624, 532, 1087.0]","[1.2653444676409187, 0.7448571428571429, -1.38]"
"[628, 529, 1092.0]","[1.2837160751565762, 0.7605714285714287, -1.3649999999999998]"
"[638, 526, 1116.0]","[1.3296450939457203, 0.8360000000000001, -1.35]"
"[644, 525, 1136.0]","[1.3572025052192065, 0.898857142857143, -1.3450000000000002]"
"[649, 524, 1146.0]","[1.3801670146137792, 0.9302857142857142, -1.3400000000000003]"
"[657, 521, 1160.0]","[1.4169102296450942, 0.9742857142857142, -1.3250000000000002]"
"[661, 518, 1178.0]","[1.4352818371607516, 1.0308571428571427, -1.31]"
"[667, 515, 1196.0]","[1.4628392484342383, 1.0874285714285716, -1.295]"
"[669, 512, 1213.0]","[1.472025052192067, 1.1408571428571426, -1.2800000000000002]"
"[674, 510, 1223.0]","[1.4949895615866389, 1.1722857142857146, -1.2700000000000005]"
"[677, 509, 1205.0]","[1.5087682672233824, 1.1157142857142857, -1.2650000000000001]"
"[681, 509, 1218.0]","[1.52713987473904, 1.156571428571429, -1.2650000000000001]"
"[689, 509, 1223.0]","[1.5638830897703553, 1.1722857142857146, -1.2650000000000001]"
"[694, 509, 1214.0]","[1.5868475991649271, 1.1440000000000001, -1.2650000000000001]"
"[701, 511, 1230.0]","[1.6189979123173277, 1.1942857142857144, -1.2750000000000004]"
"[705, 512, 1217.0]","[1.6373695198329856, 1.1534285714285715, -1.2800000000000002]"
"[707, 513, 1227.0]","[1.6465553235908144, 1.1848571428571426, -1.2849999999999997]"
"[716, 514, 1218.0]","[1.6878914405010441, 1.156571428571429, -1.29]"
"[718, 514, 1221.0]","[1.6970772442588729, 1.1660000000000004, -1.29]"
"[719, 517, 1208.0]","[1.7016701461377872, 1.125142857142857, -1.3050000000000002]"
"[719, 518, 1205.0]","[1.7016701461377872, 1.1157142857142857, -1.31]"
"[719, 520, 1186.0]","[1.7016701461377872, 1.056, -1.3200000000000003]"
"[719, 520, 1176.0]","[1.7016701461377872, 1.024571428571429, -1.3200000000000003]"
"[719, 531, 1380.0]","[1.7016701461377872, 1.665714285714286, -1.375]"
"[719, 531, 1379.0]","[1.7016701461377872, 1.6625714285714288, -1.375]"
"[719, 530, 1370.0]","[1.7016701461377872, 1.6342857142857143, -1.37]"
"[719, 528, 1363.0]","[1.7016701461377872, 1.6122857142857145, -1.3599999999999999]"
"[719, 527, 1359.0]","[1.7016701461377872, 1.5997142857142856, -1.3550000000000004]"
"[719, 526, 1357.0]","[1.7016701461377872, 1.5934285714285714, -1.35]"
"[719, 526, 1351.0]","[1.7016701461377872, 1.5745714285714287, -1.35]"
"[719, 527, 1350.0]","[1.7016701461377872, 1.5714285714285712, -1.3550000000000004]"
"[719, 527, 1350.0]","[1.7016701461377872, 1.5714285714285712, -1.3550000000000004]"
"[719, 528, 1362.0]","[1.7016701461377872, 1.6091428571428574, -1.3599999999999999]"
"[719, 527, 1352.0]","[1.7016701461377872, 1.5777142857142858, -1.3550000000000004]"
"[719, 528, 1347.0]","[1.7016701461377872, 1.5619999999999998, -1.3599999999999999]"
"[719, 530, 1355.0]","[1.7016701461377872, 1.5871428571428576, -1.37]"
"[719, 529, 1355.0]","[1.7016701461377872, 1.5871428571428576, -1.3649999999999998]"
"[719, 529, 1358.0]","[1.7016701461377872, 1.596571428571429, -1.3649999999999998]"
"[719, 529, 1362.0]","[1.7016701461377872, 1.6091428571428574, -1.3649999999999998]"
"[719, 529, 1363.0]","[1.7016701461377872, 1.6122857142857145, -1.3649999999999998]"
"[719, 529, 1358.0]","[1.7016701461377872, 1.596571428571429, -1.3649999999999998]"
"[719, 529, 1354.0]","[1.7016701461377872, 1.584, -1.3649999999999998]"
"[719, 530, 1358.0]","[1.7016701461377872, 1.596571428571429, -1.37]"
"[719, 530, 1350.0]","[1.7016701461377872, 1.5714285714285712, -1.37]"
"[719, 532, 1342.0]","[1.7016701461377872, 1.5462857142857143, -1.38]"
"[719, 533, 1339.0]","[1.7016701461377872, 1.536857142857143, -1.3850000000000002]"
"[719, 534, 1312.0]","[1.7016701461377872, 1.452, -1.3900000000000001]"
"[719, 533, 1269.0]","[1.7016701461377872, 1.3168571428571427, -1.3850000000000002]"
"[719, 532, 1230.0]","[1.7016701461377872, 1.1942857142857144, -1.38]"
"[719, 533, 1210.0]","[1.7016701461377872, 1.1314285714285712, -1.3850000000000002]"
"[719, 532, 1217.0]","[1.7016701461377872, 1.1534285714285715, -1.38]"
"[719, 531, 1224.0]","[1.7016701461377872, 1.1754285714285713, -1.375]"
"[719, 530, 1231.0]","[1.7016701461377872, 1.1974285714285715, -1.37]"
"[719, 530, 1236.0]","[1.7016701461377872, 1.213142857142857, -1.37]"
"[719, 529, 1253.0]","[1.7016701461377872, 1.2665714285714285, -1.3649999999999998]"
"[719, 527, 1268.0]","[1.7016701461377872, 1.313714285714286, -1.3550000000000004]"
"[719, 527, 1311.0]","[1.7016701461377872, 1.4488571428571428, -1.3550000000000004]"
"[719, 525, 1329.0]","[1.7016701461377872, 1.5054285714285718, -1.3450000000000002]"
"[719, 524, 1369.0]","[1.7016701461377872, 1.6311428571428572, -1.3400000000000003]"
"[719, 523, 1379.0]","[1.7016701461377872, 1.6625714285714288, -1.3350000000000004]"
"[719, 522, 1383.0]","[1.7016701461377872, 1.6751428571428573, -1.33]"
"[719, 521, 1382.0]","[1.7016701461377872, 1.6720000000000002, -1.3250000000000002]"
"[719, 521, 1386.0]","[1.7016701461377872, 1.684571428571429, -1.3250000000000002]"
"[719, 521, 1420.0]","[1.7016701461377872, 1.7914285714285714, -1.3250000000000002]"
"[719, 522, 1436.0]","[1.7016701461377872, 1.841714285714286, -1.33]"
"[719, 521, 3221.0]","[1.7016701461377872, 7.451714285714287, -1.3250000000000002]"
"[719, 521, 3259.0]","[1.7016701461377872, 7.571142857142858, -1.3250000000000002]"
"[719, 521, 3227.0]","[1.7016701461377872, 7.47057142857143, -1.3250000000000002]"
"[719, 522, 3264.0]","[1.7016701461377872, 7.586857142857143, -1.33]"
"[719, 524, 3174.0]","[1.7016701461377872, 7.304, -1.3400000000000003]"
"[719, 525, 3144.0]","[1.7016701461377872, 7.209714285714286, -1.3450000000000002]"
"[719, 525, 3164.0]","[1.7016701461377872, 7.27257142857143, -1.3450000000000002]"
"[719, 526, 3134.0]","[1.7016701461377872, 7.178285714285716, -1.35]"
"[719, 526, 3200.0]","[1.7016701461377872, 7.385714285714286, -1.35]"
"[719, 527, 3149.0]","[1.7016701461377872, 7.225428571428573, -1.3550000000000004]"
"[719, 525, 3243.0]","[1.7016701461377872, 7.520857142857144, -1.3450000000000002]"
"[719, 525, 3154.0]","[1.7016701461377872, 7.241142857142858, -1.3450000000000002]"
"[719, 525, 3164.0]","[1.7016701461377872, 7.27257142857143, -1.3450000000000002]"
"[719, 525, 3174.0]","[1.7016701461377872, 7.304, -1.3450000000000002]"
"[719, 525, 3195.0]","[1.7016701461377872, 7.370000000000001, -1.3450000000000002]"
"[719, 525, 3221.0]","[1.7016701461377872, 7.451714285714287, -1.3450000000000002]"
"[719, 525, 3190.0]","[1.7016701461377872, 7.354285714285716, -1.3450000000000002]"
"[719, 523, 3200.0]","[1.7016701461377872, 7.385714285714286, -1.3350000000000004]"
"[719, 522, 3227.0]","[1.7016701461377872, 7.47057142857143, -1.33]"
"[719, 521, 3308.0]","[1.7016701461377872, 7.725142857142858, -1.3250000000000002]"
"[719, 520, 3253.0]","[1.7016701461377872, 7.5522857142857145, -1.3200000000000003]"
"[719, 519, 3227.0]","[1.7016701461377872, 7.47057142857143, -1.315]"
"[719, 520, 3200.0]","[1.7016701461377872, 7.385714285714286, -1.3200000000000003]"
"[719, 519, 3286.0]","[1.7016701461377872, 7.656000000000001, -1.315]"
"[719, 518, 3297.0]","[1.7016701461377872, 7.690571428571429, -1.31]"
"[719, 519, 3243.0]","[1.7016701461377872, 7.520857142857144, -1.315]"
"[719, 518, 3248.0]","[1.7016701461377872, 7.536571428571429, -1.31]"
"[719, 518, 3297.0]","[1.7016701461377872, 7.690571428571429, -1.31]"
"[719, 518, 3227.0]","[1.7016701461377872, 7.47057142857143, -1.31]"
"[719, 517, 3200.0]","[1.7016701461377872, 7.385714285714286, -1.3050000000000002]"
"[719, 518, 3221.0]","[1.7016701461377872, 7.451714285714287, -1.31]"
"[719, 519, 3190.0]","[1.7016701461377872, 7.354285714285716, -1.315]"
"[719, 519, 3195.0]","[1.7016701461377872, 7.370000000000001, -1.315]"
"[719, 519, 3314.0]","[1.7016701461377872, 7.744, -1.315]"
"[719, 520, 3259.0]","[1.7016701461377872, 7.571142857142858, -1.3200000000000003]"
"[719, 521, 3243.0]","[1.7016701461377872, 7.520857142857144, -1.3250000000000002]"
"[719, 520, 3211.0]","[1.7016701461377872, 7.420285714285715, -1.3200000000000003]"
"[719, 520, 3253.0]","[1.7016701461377872, 7.5522857142857145, -1.3200000000000003]"
"[719, 520, 3159.0]","[1.7016701461377872, 7.256857142857143, -1.3200000000000003]"
"[719, 519, 3190.0]","[1.7016701461377872, 7.354285714285716, -1.315]"
"[719, 518, 3243.0]","[1.7016701461377872, 7.520857142857144, -1.31]"
"[719, 517, 3243.0]","[1.7016701461377872, 7.520857142857144, -1.3050000000000002]"
"[719, 515, 3359.0]","[1.7016701461377872, 7.885428571428573, -1.295]"
"[719, 514, 3264.0]","[1.7016701461377872, 7.586857142857143, -1.29]"
"[719, 514, 3275.0]","[1.7016701461377872, 7.621428571428572, -1.29]"
"[719, 514, 3269.0]","[1.7016701461377872, 7.602571428571428, -1.29]"
"[719, 514, 3264.0]","[1.7016701461377872, 7.586857142857143, -1.29]"
"[719, 523, 3195.0]","[1.7016701461377872, 7.370000000000001, -1.3350000000000004]"
"[719, 523, 3232.0]","[1.7016701461377872, 7.4862857142857155, -1.3350000000000004]"
"[719, 522, 3237.0]","[1.7016701461377872, 7.502000000000001, -1.33]"
"[719, 528, 3195.0]","[1.7016701461377872, 7.370000000000001, -1.3599999999999999]"
"[719, 544, 3075.0]","[1.7016701461377872, 6.992857142857144, -1.44]"
"[719, 555, 2955.0]","[1.7016701461377872, 6.6157142857142865, -1.495]"
"[719, 567, 2831.0]","[1.7016701461377872, 6.226000000000001, -1.5550000000000002]"
"[719, 580, 2729.0]","[1.7016701461377872, 5.905428571428571, -1.62]"
"[719, 591, 2659.0]","[1.7016701461377872, 5.685428571428572, -1.6750000000000003]"
"[719, 607, 2539.0]","[1.7016701461377872, 5.308285714285715, -1.755]"
"[719, 625, 2453.0]","[1.7016701461377872, 5.038, -1.8450000000000002]"
"[719, 599, 1188.0]","[1.7016701461377872, 1.0622857142857143, -1.7150000000000003]"
"[719, 687, 1127.0]","[1.7016701461377872, 0.8705714285714286, -2.1550000000000002]"
"[719, 571, 1170.0]","[1.7016701461377872, 1.0057142857142858, -1.5749999999999997]"
"[719, 558, 1181.0]","[1.7016701461377872, 1.0402857142857145, -1.5099999999999998]"
"[719, 564, 1175.0]","[1.7016701461377872, 1.0214285714285714, -1.54]"
"[629, 682, 1041.0]","[1.2883089770354905, 0.6002857142857145, -2.1300000000000003]"
"[617, 675, 1029.0]","[1.2331941544885177, 0.5625714285714285, -2.095]"
"[599, 666, 1002.0]","[1.1505219206680586, 0.47771428571428576, -2.0500000000000003]"
"[587, 661, 1063.0]","[1.0954070981210857, 0.6694285714285715, -2.025]"
"[573, 661, 1070.0]","[1.0311064718162841, 0.6914285714285715, -2.025]"
"[565, 662, 1051.0]","[0.9943632567849687, 0.6317142857142857, -2.03]"
"[562, 662, 1054.0]","[0.9805845511482256, 0.6411428571428572, -2.03]"
"[619, 697, 873.0]","[1.2423799582463464, 0.07228571428571429, -2.205]"
"[634, 708, 877.0]","[1.3112734864300624, 0.08485714285714296, -2.2600000000000002]"
"[719, 499, 3441.0]","[1.7016701461377872, 8.143142857142857, -1.2149999999999999]"
"[642, 709, 916.0]","[1.3480167014613778, 0.20742857142857152, -2.265]"
"[719, 515, 3221.0]","[1.7016701461377872, 7.451714285714287, -1.295]"
"[719, 523, 3139.0]","[1.7016701461377872, 7.194000000000001, -1.3350000000000004]"
"[719, 529, 3169.0]","[1.7016701461377872, 7.288285714285715, -1.3649999999999998]"
"[719, 535, 3023.0]","[1.7016701461377872, 6.829428571428572, -1.395]"
"[719, 532, 3042.0]","[1.7016701461377872, 6.889142857142858, -1.38]"
"[719, 531, 3075.0]","[1.7016701461377872, 6.992857142857144, -1.375]"
"[719, 529, 3070.0]","[1.7016701461377872, 6.977142857142859, -1.3649999999999998]"
"[719, 530, 3164.0]","[1.7016701461377872, 7.27257142857143, -1.37]"
"[719, 563, 1290.0]","[1.7016701461377872, 1.382857142857143, -1.5350000000000001]"
"[719, 572, 1272.0]","[1.7016701461377872, 1.326285714285714, -1.58]"
"[719, 579, 1270.0]","[1.7016701461377872, 1.3200000000000003, -1.6150000000000002]"
"[719, 591, 1254.0]","[1.7016701461377872, 1.269714285714286, -1.6750000000000003]"
"[719, 602, 1255.0]","[1.7016701461377872, 1.2728571428571427, -1.73]"
"[719, 610, 1241.0]","[1.7016701461377872, 1.2288571428571426, -1.77]"
"[719, 611, 1259.0]","[1.7016701461377872, 1.2854285714285716, -1.7750000000000004]"
"[719, 613, 1246.0]","[1.7016701461377872, 1.2445714285714287, -1.7850000000000001]"
"[719, 608, 1191.0]","[1.7016701461377872, 1.0717142857142856, -1.7600000000000002]"
"[719, 608, 1191.0]","[1.7016701461377872, 1.0717142857142856, -1.7600000000000002]"
"[719, 611, 1185.0]","[1.7016701461377872, 1.052857142857143, -1.7750000000000004]"
"[719, 602, 846.0]","[1.7016701461377872, -0.012571428571428678, -1.73]"
"[702, 598, 865.0]","[1.6235908141962425, 0.04714285714285715, -1.7100000000000004]"
"[687, 592, 867.0]","[1.554697286012526, 0.05342857142857138, -1.6800000000000002]"
"[663, 584, 890.0]","[1.4444676409185808, 0.12571428571428567, -1.6400000000000001]"
"[651, 576, 905.0]","[1.389352818371608, 0.17285714285714304, -1.6]"
"[632, 567, 932.0]","[1.3020876826722336, 0.25771428571428556, -1.5550000000000002]"
